type;title;studio;image;state;episodes;length
SHOW;Dandadan;Science SARU Inc.;https://m.media-amazon.com/images/I/81cUBwUTL+L.jpg;FINISHED;12;0
MOVIE;Your Name;CoMix Wave Films Inc.;https://cdn.myanimelist.net/images/anime/5/87048.jpg;CURRENTLY_WATCHING;0;107
SHOW;One Piece;Toei Animation Co., Ltd.;https://cdn.myanimelist.net/images/anime/6/73245.jpg;FINISHED;1150;0
SHOW;Attack on Titan;Wit Studio / MAPPA;https://cdn.myanimelist.net/images/anime/10/47347.jpg;FINISHED;87;0
MOVIE;Spirited Away;Studio Ghibli;https://cdn.myanimelist.net/images/anime/6/79597.jpg;FINISHED;0;125
SHOW;Death Note;Madhouse;https://cdn.myanimelist.net/images/anime/9/9453.jpg;FINISHED;37;0
MOVIE;A Silent Voice;Kyoto Animation;https://cdn.myanimelist.net/images/anime/1122/96435.jpg;NOT_STARTED;0;130
SHOW;Jujutsu Kaisen;MAPPA;https://cdn.myanimelist.net/images/anime/1171/109222.jpg;CURRENTLY_WATCHING;47;0
SHOW;Chainsaw Man;MAPPA;https://cdn.myanimelist.net/images/anime/1806/126216.jpg;NOT_STARTED;12;0
MOVIE;Weathering With You;CoMix Wave Films Inc.;https://musicart.xboxlive.com/7/44725100-0000-0000-0000-000000000002/504/image.jpg;FINISHED;0;112
